380.933 223.322 0.0
404.512 221.911 0.0
434.0 219.867 0.0
464.382 216.313 0.0
492.281 209.785 0.0
519.786 199.963 0.0
546.461 190.908 0.0
573.041 185.162 0.0
601.039 180.494 0.0
626.771 177.163 0.0
646.291 175.636 0.0
658.467 175.574 0.0
667.518 175.56 0.0
673.95 175.55 0.0
685.839 175.544 0.0
687.41 175.54 0.0
688.141 175.539 0.0
687.483 175.539 0.0
685.808 175.542 0.0
673.71 175.548 0.0
667.063 175.558 0.0
657.851 175.573 0.0
645.616 175.594 0.0
627.266 175.631 0.0
603.744 175.709 0.0
577.781 175.856 0.0
552.14 176.113 0.0
524.814 177.364 0.0
495.916 180.259 0.0
468.617 184.934 0.0
441.257 191.628 0.0
412.905 199.697 0.0
384.692 208.173 0.0
357.644 216.115 0.0
332.792 222.581 0.0
311.258 226.604 0.0
294.093 227.466 0.0
282.076 227.462 0.0
274.486 227.455 0.0
262.225 227.447 0.0
260.423 227.441 0.0
260.003 227.437 0.0
261.376 227.439 0.0
276.125 227.449 0.0
286.419 227.46 0.0
298.197 227.466 0.0
309.92 227.362 0.0
321.837 227.017 0.0
334.467 226.432 0.0
348.329 225.609 0.0
